"id","Name","Full_Address","Website","Plus_Code","Rating","Reviews","URL",
"291","The Kappo Room","6718, 365 W 46th St, New York, NY 10016, USA","thekapporoom.com","Q265+9X New York, USA","3.0","(1)","https://www.google.com/maps/place/The+Kappo+Room/@40.7522995,-73.984735,12z/data=!4m9!1m3!2m2!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e5!3m4!1s0x89c25853e6a9bccf:0x32ce9bfd5110968c!8m2!3d40.7609269!4d-73.990091?hl=en",
"290","Bodai","59-08 Main St, Flushing, NY 11355, USA","bodaivegetarian.com","P5VF+CJ Flushing, Queens, NY, USA","4.4","(331)","https://www.google.com/maps/place/Bodai/@40.7522995,-73.984735,12z/data=!4m9!1m3!2m2!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e5!3m4!1s0x89c2606f403961d9:0x6255022da7668253!8m2!3d40.743617!4d-73.825931?hl=en",
"289","BR Guest Hospitality","315 Park Ave S, New York, NY 10010, USA","brguesthospitality.com","P2R7+6P New York, USA","3.8","(4)","https://www.google.com/maps/place/BR+Guest+Hospitality/@40.7522995,-73.984735,12z/data=!4m9!1m3!2m2!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e5!3m4!1s0x89c259a0d5c235bb:0xbb98485ac6dcdc51!8m2!3d40.7405233!4d-73.9856279?hl=en",
"288","red poke","885 8th Ave, New York, NY 10019, USA","redpoke.com","Q277+JX New York, USA","4.7","(63)","https://www.google.com/maps/place/red+poke/@40.7522995,-73.984735,12z/data=!4m9!1m3!2m2!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e5!3m4!1s0x89c2595e10c0bedf:0xe130adfe93a94272!8m2!3d40.7641181!4d-73.9850868?hl=en",
"287","Profit chinese restaurant II","645 2nd Ave, New York, NY 10016, USA","","P2WF+7Q New York, USA","","","https://www.google.com/maps/place/Profit+chinese+restaurant+II/@40.7522995,-73.984735,12z/data=!4m9!1m3!2m2!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e5!3m4!1s0x89c2598fec05138b:0xc6257426607c85ff!8m2!3d40.745711!4d-73.975531?hl=en",
"286","Philippe Chow","355 W 16th St, New York, NY 10011, USA","philippechow.com","PXRW+WJ New York, USA","4.5","(25)","https://www.google.com/maps/place/Philippe+Chow/@40.7522995,-73.984735,12z/data=!4m9!1m3!2m2!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e5!3m4!1s0x89c259e44bc479bf:0x98739c2603b74f83!8m2!3d40.7423349!4d-74.0034581?hl=en",
"285","Red Poke","600 9th Ave, New York, NY 10036, USA","redpoke.com","Q255+H6 New York, USA","4.7","(697)","https://www.google.com/maps/place/Red+Poke/@40.7418161,-74.0930698,10z/data=!4m9!1m3!2m2!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e5!3m4!1s0x89c25852545fb467:0xc3014d5e5bfb7f08!8m2!3d40.7588893!4d-73.9919146?hl=en",
"284","The Blue Note, 131 W 3rd St., Ny","939 8th Ave, New York, NY 10001, USA","bluenote.net","Q288+9F New York, USA","4.5","(2)","https://www.google.com/maps/place/The+Blue+Note,+131+W+3rd+St.,+Ny/@40.7418161,-74.0930698,10z/data=!4m9!1m3!2m2!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e5!3m4!1s0x89c2585811bdfba3:0x187c44a430ffaad8!8m2!3d40.7659447!4d-73.9838542?hl=en",
"283","Tacombi","25 Lafayette Ave, Brooklyn, NY 11217, USA","tacombi.com","M2PC+QR Brooklyn, New York, USA","4.2","(145)","https://www.google.com/maps/place/Tacombi/@40.7418161,-74.0930698,10z/data=!4m9!1m3!2m2!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e5!3m4!1s0x89c25b1a22a74ab5:0xe88fdbf57a37027e!8m2!3d40.6869919!4d-73.9778955?hl=en",
"282","Sweetcatch Poke","642 Lexington Ave A, New York, NY 10022, USA","sweetcatchpoke.com","Q25H+PQ New York, USA","3.8","(111)","https://www.google.com/maps/place/Sweetcatch+Poke/@40.7418161,-74.0930698,10z/data=!4m9!1m3!2m2!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e5!3m4!1s0x89c258e4b7820511:0xd5aadeaa31b54e47!8m2!3d40.7593497!4d-73.9705395?hl=en",
